CU_INDEX,Stock,WA,lh,PA_SMSY,PA_SE_SMSY,PA_SREP,PA_SE_SREP,Comments
CK-13,South Thompson Agg,29565.40842,1,104263,25046,270229,24531,"All (lower Thompson, South Thompson, Little, Lower Adams)"
CK-15,Lower Shuswap,2663.142562,1,12339.2644,2045.352843,34726.4772,1958.16696,
CK-15,Middle Shuswap,639.7864321,1,3484.709054,575.4212525,10297.4342,550.7051878,
CK-15,Wap,19.77537433,1,160,46,531,45,
CK-33,East,46.1876646,1,338.9273223,84.00322692,1095.784634,82.37537153,
CK-33,Goodspeed,14.50187742,1,121.3548779,36.70613996,408.2152542,36.21832524,
CK-33,Keith,55.83291043,1,400.987296,96.08269028,1288.045454,94.09578838,
CK-33,Klaskish,40.62470017,1,302.4762436,76.69319478,982.2383108,75.2703614,
CK-33,Mahatta,113.6622678,1,753.0895883,158.9709052,2360.936573,154.7673993,
CK-33,Washlawlis,23.01882869,1,182.7937055,51.16228887,605.2402259,50.37571474,
CK-33,Colonial&Cayeagle,78.57117308,1,543,122,1723,119,
CK-33,Marble,167.51,1,1130,221,3488,214,
CK-29,Adam,279.0229766,1,1669.709588,303.9808129,5076.146715,293.2279444,
CK-29,Amor de Cosmos,14.50187742,1,121.3548779,36.70613996,408.2152542,36.21832524,
CK-29,Cluxewe,89.51941912,1,609.4066979,134.202216,1926.162432,130.9345234,
CK-29,Kokish,103.7253183,1,694.4176076,148.9724714,2183.824803,145.155527,
CK-29,Quatse,79.58163742,1,549,123.4797359,1742.436777,120.5932581,
CK-29,Nimpkish (above Lake),400.2062663,1,2299,368.1269906,6903,383,"Note, need to check with Pieter as perhaps only Woss is surveyed"
CK-29,Salmon,911.6572586,1,4770,771,13926,736,
CK-29,Quinsam-Campbell,170.5152599,1,1079,212,3336,206,
CK-32,Conuma,19.71,1,761,160,2384,156,
CK-32,Tahsis,76.93,1,497,114,1583,111,
CK-32,Burman,69.89,1,1376,259,4215,250,
CK-32,Artlish,63.55,1,764,161,2393,156,
CK-32,Kaouk,100.51,1,712,152,2238,148,
CK-32,Tahsish,171.97,1,664,144,2093,140,
CK-32,Gold,856.34,1,4910,792,14317,757,
CK-32,Leiner,109.25,1,656,142,2069,139,
CK-32,Zeballos,193.85,1,99,27,335,31,
CK-32,Amai,13.63191732,1,114.8779655,35.1023511,387.2469248,34.64461924,
CK-32,Canton,9.81,1,265.8551174,69.15810279,867.6278574,67.93637651,
CK-32,Espinosa,4.7,1,199.1996997,54.83523263,657.3773472,53.96527739,
CK-32,Hoiss,13.49331751,1,113.8418199,34.84407376,383.8883414,34.39112627,
CK-32,Kauwinch,44.12,1,519.1720086,118.0832459,1651.13549,115.3826984,
CK-32,Kleeptee,14.01,1,357.2547656,87.61533006,1152.693995,85.88269629,
CK-32,Little Zeballos River,43.33,1,298.4822362,75.88121912,969.7657988,74.48056453,
CK-32,Malksope,20.37,1,248.9913664,65.61503543,814.6500193,64.48413984,
CK-32,Mckay,1.44,1,112,34,379,34,
CK-32,Mooyah,7.69,1,267,69,870,68,
CK-32,Ououkinsh,16.72,1,268,70,873,68,
CK-32,Power,50.9607687,1,370,90,1191,88,
CK-32,Sucwoa,25.49,1,306,77,993,76,
CK-32,Tlupana,19.84,1,649,141,2047,138,
CK-32,Tsowwin,26.19,1,252,66,825,65,
CK-31,Nitinat,356.62,1,2393,412,7174,396,
CK-31,San Juan,330,1,3402,563,10062,539,
CK-31,Nahmint,41.74,1,1128,220,3480,213,
CK-31,Sarita,84.22,1,620,136,1959,133,
CK-31,Bedwell,99.36,1,616,135,1946,132,
CK-31,Megin,245.34,1,821,170,2564,166,
CK-31,Moyeha,115.68,1,1065,210,3294,204,
CK-31,Cypre,39.03,1,396,95,1273,93,
CK-31,Tranquil,12.22,1,405,97,1302,95,
CK-31,Somass (stamp&sproat),1056.84,1,5017,809,14619,772,
CK-27,Puntledge Falls,560.2454578,1,3098,517,9195,496,
CK-27,Englishman,298.8025471,1,1774,320,5382,308,
CK-27,Big Qualicum,136.8720777,1,888,181,2766,176,
CK-27,Little Qualicum,94.63079783,1,640,140,2020,136,
CK-24,Puntledge Summers,432.7602266,1,2464,423,7379,406,
CK-25,Nanaimo Falls,545.2196866,1,3024,506,8985,485,
CK-35,Klinaklini,1475.318501,1,7569,1594,20275,1415,(includes devereaux and other tribs)
CK-17,Deadman,754.459182,0,2249,473,5940,419,
CK-17,Nicola,6225.100696,0,9535,2052,25611,1831,
CK-17,Spius,613.7463388,0,1953,415,5148,370,
CK-17,Coldwater,254.8923516,0,1070,245,2802,222,
CK-17,Louis,438.4178736,0,1551,338,4079,302,
CK-17,Bonaparte,3001.854142,0,5788,1198,15455,1059,
CK-16,Bessette,231.8779014,0,1003,232,2624,210,
CK-09,Portage,454.1895004,0,1589,345,4180,309,
CK-11,Chilko,2102.563218,0,4536,932,12078,822,
CK-11,Quesnel System (Cariboo),3997.852941,0,7042,1475,18847,1308,
CK-11,"Nechako System (Stuart, Stellako)",15673.66027,0,17939,4198,48543,4295.337558,
CK-11,Taseko,2218.539321,0,4706,967,12535,853,
CK-11,Bridge,350.9381836,0,1332,296,3496,266,
CK-19,North Thompson and Tribs,5909.991814,0,9202,1973,24706,1759,"(Clearwater, Mahood, Raft, Barriere, Lemieux)"
CK-12,Upper Fraser Spring Agg,33078.74639,0,30193,3205,80694,2861,(all tribs and mainstem from Salmon River upstream)
CK-07,Maria Slough,30.54565188,1,235,63,770,62,
CK-04,Birkenhead,462.4660493,0,1609,349,4232,312,
CK-14,Eagle,594.1618092,0,1910,407,5034,362,
CK-14,Salmon @ Salmon Arm,638.3781821,0,2006,425,5291,378,
CK-14,Seymour - South Thompson,79.00677097,0,480,126,1245,116,
CK-34,Homathko,286.3011437,1,1832,392,4826,349,
CK-10,Endako,690.1047235,0,2116,447,5584,397,
CK-10,Chilako,1908.393017,0,4245,872,11294,769,
CK-10,Horsefly,486.6201118,0,1666,360,4384,322,
CK-10,"Westroad, Baker, Naver, Narcosli, Cottonwood",8680.933419,0,11972,2645,32243,2376,
CK-10,Chilcotin (upper and lower),1993.225096,0,4373,898,11640,792,
CK-10,Driftwood,708.0676713,0,2153.589466,453.9793997,5684.140596,403.1817779,
CK-10,Nadina,918.7057862,0,2573.795239,535.7486073,6807.49668,474.2231199,
CK-10,Upper Cariboo,553.9219058,0,1820.471157,389.663626,4795.416488,347.4074629,
CK-10,Taseko (Spring Timing) Agg,2218.486093,0,4705.773253,967.4469567,12535.17168,853.4637794,"(Taseko, Elkin, Beece, Lord, Yohetta, Tchaikazan)"
CK-08,Nahatlatch,246.3397738,0,1045.489343,239.947007,2736.061474,217.368449,
CK-05,Upper Pitt,287.3747473,0,1161.765243,262.6079833,3044.135095,237.1245923,
CK-01,Okanagan,610.8119923,1,3351,518,9880,497,
CK-28,Ahnuhati,103.2150776,1,757.1796446,182.8395744,1974.036524,167.3066005,
CK-28,Apple,104.1804156,1,763.310837,184.0736818,1990.210098,168.3939292,
CK-28,Sim,24.35324437,1,216.5648201,65.68773081,556.3433317,62.11888198,
CK-28,Franklin,120.4444619,1,865.521109,204.5001018,2260.048829,186.3515327,
CK-28,Southgate,178.6599016,1,1217.846806,273.4908748,3192.855753,246.5972167,
CK-28,Kakweiken,51.02930054,1,411.2506737,110.6199262,1064.489273,103.0315755,
CK-28,Wakeman,304.8571273,1,1934.328657,411.6101123,5098.976821,366.4335587,
CK-28,Kingcome,281.9969356,1,1808.106393,387.2818875,4762.463478,345.3428182,
CK-28,Orford,37.75911239,1,316.7583412,89.44439351,817.3868393,83.86431037,
CK-28,Stafford,21.06489104,1,168.9685614,48.01264223,561.1649449,47.29523251,
CK-28,Phillips,192.7718712,1,1300.722134,289.5313697,3412.776519,260.5446425,
CK-20,Brem,220.5816314,1,1355.642914,255.8527461,4154.615384,247.4242863,
CK-20,Indian,177.3282531,1,1117.129217,218.4610838,3449.3095,211.7508688,
CK-20,Quatam,146.6783215,1,944.1414567,190.6533688,2934.171569,185.1550039,
CK-20,Seymour - Georgia Strait,55.30104059,1,397.5987917,95.43375475,1277.57928,93.46675919,
CK-20,Theodosia,54.68208327,1,393.650801,94.67622119,1265.38066,92.73237644,
CK-20,Toba,449.9014256,1,2709.143007,562.2825225,7169.807134,497.3213209,
CK-20,Squamish,831.7055632,1,4610.37737,947.4764358,12278.09607,835.758937,
CK-21,Goldstream,41.9632168,1,311.2958571,78.47822459,1009.75787,77.0062112,
CK-06,Big Silver,420.6987341,0,1513,349,3951,315,
CK-18,North Thompson Agg,2086.058926,0,4538,1012,11945,907,(includes mainstem and trib u/s of Avola)
