"","Stock","WA","LH","SGEN.SREP","SGEN LQ.SREP","SGEN UQ.SREP","SREP.SREP","SREP LQ.SREP","SREP UQ.SREP","SMSY.SREP","SMSY LQ.SREP","SMSY UQ.SREP","SGEN.SMAX","SGEN LQ.SMAX","SGEN UQ.SMAX","SREP.SMAX","SREP LQ.SMAX","SREP UQ.SMAX","SMSY.SMAX","SMSY LQ.SMAX","SMSY UQ.SMAX"
"1","South Thompson Agg",29565,1,34124,13688,69451,398020,137363,1153296,159668,81143,284035,90000,25000,310000,490000,240000,1000000,210000,100000,450000
"2","Lower Shuswap",2663,1,3245,1343,6596,38826,18669,80749,15401,7712,27340,8400,2100,27000,43000,24000,73000,19000,10000,34000
"3","Middle Shuswap",640,1,818,331,1727,9779,4735,20194,3895,1986,7263,2100,470,6100,10000,5700,18000,4500,2500,8000
"4","Wap",20,1,29,12,64,339,97,1187,137,68,257,56,11,200,300,130,720,130,52,300
"5","East",46,1,66,26,137,770,261,2277,311,153,560,130,33,440,710,330,1500,300,140,670
"6","Goodspeed",15,1,21,9,44,251,67,938,101,51,181,41,10,180,220,85,540,95,36,250
"7","Keith",56,1,78,31,165,925,324,2639,370,181,697,170,36,550,860,380,1800,370,170,800
"8","Klaskish",41,1,58,22,114,680,225,2061,272,133,485,110,27,400,620,290,1400,260,120,580
"9","Mahatta",114,1,158,63,330,1840,730,4637,749,364,1372,330,84,1100,1800,910,3400,760,380,1500
"10","Washlawlis",23,1,34,14,67,393,116,1332,160,75,289,65,16,240,350,150,800,150,63,340
"11","Colonial&Cayeagle",79,1,112,43,236,1287,480,3453,527,259,976,240,60,790,1200,610,2600,530,260,1100
"12","Marble",168,1,229,87,501,2676,1127,6358,1084,516,1975,500,130,1700,2700,1300,5100,1100,570,2200
"13","Adam",279,1,372,150,739,4383,1973,9738,1764,902,3233,820,210,2700,4400,2400,8100,1900,970,3600
"14","Amor de Cosmos",15,1,21,9,43,251,67,938,100,48,177,43,9,150,220,84,560,95,37,240
"15","Cluxewe",90,1,124,50,254,1460,557,3830,590,291,1137,260,70,870,1400,660,2900,600,280,1200
"16","Kokish",104,1,141,60,289,1684,658,4309,673,343,1197,300,74,940,1600,830,3000,700,350,1300
"17","Quatse",80,1,108,45,222,1303,487,3488,516,257,940,240,54,780,1200,590,2500,530,250,1100
"18","Nimpkish (above Lake)",400,1,528,214,1116,6213,2904,13290,2487,1204,4503,1200,280,3800,6200,3400,12000,2700,1400,5200
"19","Salmon",912,1,1188,504,2574,13771,6768,28022,5631,2771,10419,2600,640,8300,15000,8200,25000,6200,3400,11000
"20","Quinsam-Campbell",171,1,232,96,477,2723,1149,6451,1082,554,1980,480,130,1500,2600,1300,5300,1100,550,2300
"21","Conuma",20,1,29,12,60,338,97,1184,138,65,248,61,13,210,310,140,750,130,58,320
"22","Tahsis",77,1,105,44,223,1261,468,3396,501,251,923,220,52,730,1200,570,2400,500,240,1100
"23","Burman",70,1,101,40,220,1149,420,3148,477,238,877,220,48,710,1100,530,2300,470,220,1000
"24","Artlish",64,1,90,38,181,1048,376,2921,425,217,782,180,45,660,990,450,2100,430,190,930
"25","Kaouk",101,1,137,56,305,1633,635,4201,652,314,1220,310,78,1100,1600,800,3400,680,340,1500
"26","Tahsish",172,1,230,97,480,2745,1160,6497,1084,558,1935,530,130,1500,2700,1400,5200,1200,570,2300
"27","Gold",856,1,1096,460,2333,12963,6359,26425,5206,2627,9763,2700,650,7900,14000,7800,24000,5900,3300,10000
"28","Leiner",109,1,155,63,334,1770,698,4492,725,363,1328,320,86,960,1700,840,3300,720,360,1500
"29","Zeballos",194,1,262,108,538,3082,1325,7173,1236,602,2297,570,130,1900,3000,1600,5600,1300,680,2400
"30","Amai",14,1,20,8,43,237,63,895,96,46,177,41,9,160,210,84,540,91,35,240
"31","Canton",10,1,15,6,31,172,42,699,69,34,126,26,6,110,140,57,360,61,23,160
"32","Espinosa",5,1,7,3,15,85,18,403,34,17,64,13,2,55,69,24,210,30,10,89
"33","Hoiss",13,1,20,8,42,234,62,888,95,45,177,38,9,150,200,88,480,86,36,210
"34","Kauwinch",44,1,63,27,139,737,247,2197,298,144,556,130,29,470,680,320,1500,290,140,660
"35","Kleeptee",14,1,21,8,43,243,65,914,97,47,178,40,9,150,200,89,500,89,38,220
"36","Little Zeballos River",43,1,64,25,135,724,242,2166,302,148,550,130,26,440,660,280,1500,290,120,650
"37","Malksope",20,1,29,12,59,349,100,1214,139,68,247,60,13,230,310,140,750,140,56,330
"38","Mckay",1,1,2,1,5,27,4,168,11,6,20,4,1,20,20,5.6,77,9,2,34
"39","Mooyah",8,1,12,5,24,136,32,582,54,28,99,22,4,92,120,43,330,50,18,150
"40","Ououkinsh",17,1,24,10,51,288,80,1045,116,58,222,48,10,190,250,100,630,110,44,280
"41","Power",51,1,71,27,147,847,292,2458,336,164,572,140,35,470,770,360,1600,330,150,680
"42","Sucwoa",25,1,36,16,71,433,130,1440,173,88,310,76,15,270,390,160,890,170,68,390
"43","Tlupana",20,1,30,12,63,340,97,1190,139,71,256,58,13,220,300,130,730,130,52,320
"44","Tsowwin",26,1,37,17,73,445,135,1470,176,91,304,78,19,270,400,180,900,170,77,390
"45","Nitinat",357,1,460,187,948,5557,2569,12021,2184,1059,3992,1100,260,3200,5600,3000,10000,2400,1300,4400
"46","San Juan",330,1,434,182,879,5156,2364,11242,2033,1021,3675,1000,250,3200,5100,2700,9300,2200,1200,4100
"47","Nahmint",42,1,59,24,123,698,232,2105,280,142,516,120,29,420,650,300,1400,280,130,590
"48","Sarita",84,1,116,49,232,1377,519,3649,551,281,962,240,62,760,1300,630,2500,550,270,1100
"49","Bedwell",99,1,140,57,295,1615,627,4163,656,309,1234,310,77,1000,1500,770,3100,670,340,1300
"50","Megin",245,1,327,136,697,3871,1715,8734,1547,792,2759,730,190,2200,3800,2100,7100,1600,870,3100
"51","Moyeha",116,1,160,64,319,1871,744,4704,754,371,1348,340,83,1200,1800,860,3600,780,380,1600
"52","Cypre",39,1,57,24,126,654,214,1998,268,130,492,110,24,390,590,270,1300,250,120,560
"53","Tranquil",12,1,18,7,39,213,55,824,85,40,156,35,7,130,180,74,440,77,30,190
"54","Somass (stamp&sproat)",1057,1,1350,536,2929,15887,7831,32230,6430,3048,12064,3100,850,9200,17000,9300,29000,7200,4000,13000
"55","Puntledge Falls",560,1,729,307,1571,8601,4131,17908,3457,1695,6272,1700,430,5200,8800,5200,15000,3800,2200,6800
"56","Englishman",299,1,399,166,812,4684,2125,10324,1888,958,3315,880,220,2700,4600,2500,9000,2000,1100,3800
"57","Big Qualicum",137,1,191,78,421,2202,899,5390,897,442,1688,410,100,1200,2100,1100,4100,920,460,1800
"58","Little Qualicum",95,1,133,51,288,1541,593,4004,622,308,1196,280,69,930,1500,700,2800,630,290,1300
"59","Puntledge Summers",433,1,568,239,1192,6701,3154,14233,2705,1350,5073,1300,320,4400,6900,3800,13000,2900,1500,5700
"60","Nanaimo Falls",545,1,693,284,1385,8377,4016,17476,3315,1625,6099,1700,410,4900,8600,4800,15000,3700,2100,6700
"61","Klinaklini",1475,1,1871,777,3815,21934,10807,44515,8843,4497,16424,4600,1100,14000,23000,14000,39000,10000,5800,18000
"62","Deadman",754,0,388,163,801,4583,2267,9264,1842,926,3445,960,250,3100,5300,2800,9400,2300,1200,4100
"63","Nicola",6225,0,1636,654,3435,19257,9543,38861,7701,3775,14880,4100,1000,13000,21000,11000,39000,9100,4900,17000
"64","Spius",614,0,347,131,714,3983,1963,8079,1609,764,2985,870,230,2900,4600,2400,8800,2000,1000,3800
"65","Coldwater",255,0,186,73,368,2191,1057,4540,882,435,1577,490,120,1600,2600,1400,4800,1100,610,2100
"66","Louis",438,0,272,116,536,3168,1551,6471,1295,628,2307,700,170,2200,3700,2100,6900,1600,850,3000
"67","Bonaparte",3002,0,992,419,2014,11725,5849,23507,4705,2320,8466,2500,650,8300,13000,7300,25000,5700,3100,11000
"68","Bessette",232,0,173,71,371,2054,988,4269,815,421,1452,460,110,1400,2400,1300,4400,1000,530,1900
"69","Portage",454,0,277,111,599,3245,1590,6624,1305,635,2463,760,180,2200,3800,2000,6900,1700,830,3100
"70","Chilko",2103,0,780,326,1630,9203,4593,18441,3694,1777,6814,2000,470,6000,10000,6000,19000,4600,2400,8600
"71","Quesnel System (Cariboo)",3998,0,1244,497,2807,14248,7095,28613,5850,2880,10704,3000,800,9900,16000,8800,31000,7000,3900,14000
"72","Nechako System (Stuart, Stellako)",15674,0,3042,1137,6129,36089,17550,74213,14344,6759,25673,7600,2000,24000,40000,22000,78000,17000,9300,34000
"73","Taseko",2219,0,809,341,1663,9545,4764,19127,3836,1953,6973,2100,550,6000,11000,5900,21000,4600,2400,9100
"74","Bridge",351,0,233,95,488,2723,1326,5593,1091,544,2000,610,160,2000,3200,1700,5800,1400,710,2500
"75","North Thompson and Tribs",5910,0,1629,666,3442,18588,9218,37485,7593,3695,13725,4200,1000,13000,21000,11000,38000,9200,4700,17000
"76","Upper Fraser Spring Agg",33079,0,5156,2031,10227,59983,28499,126251,24224,11978,41949,12000,2800,41000,64000,34000,120000,28000,15000,54000
"77","Maria Slough",31,1,45,18,92,516,161,1654,211,100,386,90,18,300,470,220,990,200,91,450
"78","Birkenhead",462,0,282,118,579,3285,1610,6703,1332,691,2473,760,210,2200,3800,2100,7100,1700,890,3200
"79","Eagle",594,0,333,138,682,3896,1919,7907,1555,759,2942,860,210,2700,4600,2300,8300,1900,1000,3700
"80","Salmon @ Salmon Arm",638,0,347,140,710,4091,2018,8292,1653,821,3011,930,240,2800,4800,2600,8600,2100,1100,3700
"81","Seymour - South Thompson",79,0,86,35,183,988,456,2137,405,205,750,230,53,710,1200,610,2400,510,260,1100
"82","Homathko",286,1,387,151,794,4494,2029,9954,1816,889,3452,880,240,2700,4500,2500,8300,1900,1000,3700
"83","Endako",690,0,367,148,749,4313,2131,8732,1736,830,3106,960,230,3000,4900,2700,9200,2200,1100,4000
"84","Chilako",1908,0,728,286,1543,8616,4299,17268,3426,1647,6384,1900,500,5800,9900,5600,18000,4300,2300,7800
"85","Horsefly",487,0,290,111,610,3401,1669,6931,1357,652,2515,750,200,2300,3900,2200,7100,1700,930,3100
"86","Westroad, Baker, Naver, Narcosli, Cottonwood",8681,0,2059,883,4307,24145,11900,48992,9773,4789,16881,4800,1300,17000,27000,15000,49000,12000,6300,22000
"87","Chilcotin (upper and lower)",1993,0,765,288,1542,8875,4428,17785,3574,1726,6443,1900,480,6300,10000,5600,19000,4400,2400,8500
"88","Driftwood",708,0,372,152,745,4389,2169,8882,1746,896,3225,980,220,3200,5200,2800,9600,2200,1200,4300
"89","Nadina",919,0,448,187,907,5240,2600,10562,2121,1059,3798,1200,300,3600,6200,3400,11000,2700,1400,4800
"90","Upper Cariboo",554,0,320,126,691,3714,1827,7549,1507,723,2704,800,190,2700,4300,2400,8000,1800,990,3500
"91","Taseko (Spring Timing) Agg",2218,0,824,360,1849,9545,4764,19126,3877,1935,7298,2100,500,7100,11000,5900,21000,4800,2500,9100
"92","Nahatlatch",246,0,182,75,379,2140,1032,4440,858,433,1538,470,120,1600,2500,1300,4700,1100,560,2100
"93","Upper Pitt",287,0,202,81,415,2377,1151,4908,958,468,1774,510,140,1600,2800,1500,5200,1200,630,2300
"94","Okanagan",611,1,805,318,1677,9350,4515,19361,3806,1826,7170,1800,490,5500,9700,5500,17000,4200,2300,7400
"95","Ahnuhati",103,1,142,58,292,1676,654,4292,677,331,1219,300,68,940,1600,800,3200,690,320,1400
"96","Apple",104,1,144,61,305,1691,661,4324,673,340,1200,310,70,1000,1600,830,3100,700,340,1400
"97","Sim",24,1,36,16,76,415,124,1391,168,86,307,71,16,260,380,160,900,160,69,390
"98","Franklin",120,1,164,65,347,1946,779,4859,778,371,1474,360,89,1100,1900,880,3600,800,390,1600
"99","Southgate",179,1,245,98,511,2848,1210,6704,1152,564,2113,550,130,1800,2800,1500,5200,1200,620,2300
"100","Kakweiken",51,1,73,28,150,848,292,2460,346,159,641,150,37,520,780,370,1700,330,160,740
"101","Wakeman",305,1,398,164,817,4775,2171,10503,1904,970,3530,900,220,2900,4800,2700,8900,2100,1100,3800
"102","Kingcome",282,1,377,157,768,4429,1996,9827,1798,880,3228,840,220,2500,4400,2300,8400,1900,990,3700
"103","Orford",38,1,53,23,109,634,206,1948,253,125,456,110,26,360,580,260,1300,250,110,550
"104","Stafford",21,1,31,12,63,360,104,1245,146,73,272,63,13,240,320,130,750,140,57,330
"105","Phillips",193,1,268,111,545,3066,1316,7139,1261,626,2240,570,140,1800,3100,1600,5600,1300,670,2500
"106","Brem",221,1,300,123,622,3492,1527,7988,1417,682,2689,660,150,2000,3400,1900,6200,1500,750,2800
"107","Indian",177,1,241,101,483,2828,1200,6663,1142,554,2028,500,130,1700,2700,1500,5100,1200,630,2200
"108","Quatam",147,1,200,82,418,2354,972,5702,948,484,1729,440,110,1500,2300,1100,4300,990,480,1900
"109","Seymour - Georgia Strait",55,1,79,32,163,917,321,2620,373,182,679,160,39,560,840,380,1900,360,160,810
"110","Theodosia",55,1,78,32,154,907,317,2597,370,184,698,150,37,540,840,410,1700,360,180,760
"111","Toba",450,1,598,247,1226,6957,3286,14729,2817,1372,5115,1400,370,4100,7200,4100,13000,3100,1800,5800
"112","Squamish",832,1,1101,447,2281,12602,6176,25714,5165,2510,9345,2500,620,7700,13000,7500,23000,5700,3100,10000
"113","Goldstream",42,1,61,24,134,702,233,2113,286,142,559,120,29,450,640,300,1300,270,130,610
"114","Big Silver",421,0,261,112,536,3080,1506,6298,1244,622,2355,660,160,2100,3600,2000,6600,1500,860,2900
"115","North Thompson Agg",2086,0,772,300,1667,9154,4568,18343,3692,1754,6870,2000,500,6300,11000,5800,19000,4500,2500,8200
